Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,Variant Weight Unit,Status
bundle-nad-nmn,BUNDLE: LIPOSOMAL NAD+ & NMN COMPLEX,"<p>A two-formula pairing for daily cellular energy and healthy-aging support.*</p>",Cata-Kor,Bundle,,TRUE,Title,Default Title,BUNDLE-NAD-NMN,300,,,continue,manual,85.99,89.98,TRUE,FALSE,https://cdn.shopify.com/s/files/1/0918/3667/8454/files/Main_NMN_NAD.png?v=1783680342,1,Cata-Kor Liposomal NAD+ and NMN Complex bundle,FALSE,kg,active
bundle-nmn-glutathione,BUNDLE: NMN COMPLEX & LIPOSOMAL GLUTATHIONE,"<p>A two-formula pairing for cellular energy and antioxidant defense support.*</p>",Cata-Kor,Bundle,,TRUE,Title,Default Title,BUNDLE-NMN-GLU,300,,,continue,manual,56.99,89.98,TRUE,FALSE,https://cdn.shopify.com/s/files/1/0918/3667/8454/files/Main_NMN_GLU.png?v=1783680215,1,Cata-Kor NMN Complex and Liposomal Glutathione bundle,FALSE,kg,active
bundle-nad-glutathione,BUNDLE: LIPOSOMAL NAD+ & GLUTATHIONE,"<p>A two-formula pairing for cellular energy and antioxidant defense support.*</p>",Cata-Kor,Bundle,,TRUE,Title,Default Title,BUNDLE-NAD-GLU,300,,,continue,manual,59.99,79.98,TRUE,FALSE,,,,FALSE,kg,active
bundle-nad-nmn-glutathione,BUNDLE: LIPOSOMAL NAD+ & NMN COMPLEX & GLUTATHIONE,"<p>Three complementary formulas for cellular energy, healthy aging and antioxidant defense support.*</p>",Cata-Kor,Bundle,,TRUE,Title,Default Title,BUNDLE-NAD-NMN-GLU,450,,,continue,manual,119.99,129.97,TRUE,FALSE,https://cdn.shopify.com/s/files/1/0918/3667/8454/files/Main_NMN_NAD_GLU.png?v=1783680368,1,Cata-Kor Liposomal NAD+ NMN Complex and Glutathione bundle,FALSE,kg,active
